question text,option 1,option 2,option 3,option 4,correct answer,difficulty level,subject,prep level,unit number
Simplify the expression: (5 x + 3 y) - (2 x - 3 y),a*b,#NAME?,3*5*x + 6*y,3*x + 6*y,D,Medium,Math,Prep 1,6
Simplify the expression: (2 x + 2 y) - (5 x - 5 y),#NAME?,2*x - 1,3*x + 7*y,#NAME?,A,Medium,Math,Prep 1,6
Simplify the expression: (2 x + y) + (4 x - 5 y),a*b,6*x - 4*y,6*x - 4*y + y,#NAME?,B,Medium,Math,Prep 1,6
Simplify the expression: (2 x + 4 y) - (4 x - 2 y),x + y,#NAME?,#NAME?,2*x + 6*y,C,Medium,Math,Prep 1,6
Simplify the expression: (4 x + y) + (5 x - 3 y),9*3*x - 2*y,9*x - 2*y + y,#NAME?,9*x - 2*y,D,Medium,Math,Prep 1,6
Simplify the expression: (4 x + y) + (3 x - 3 y),7*x - 2*y + 1,x + y,#NAME?,7*x - 2*y,D,Medium,Math,Prep 1,6
Simplify the expression: (3 x + y) - (4 x - 3 y),#NAME?,#NAME?,2*x - 1,#NAME?,B,Medium,Math,Prep 1,6
Simplify the expression: (3 x + 4 y) - (2 x - y),3*x + 5*y,x + 5*y,#NAME?,4*x + 5*y,B,Medium,Math,Prep 1,6
Simplify the expression: (4 x + 3 y) + (4 x - 4 y),8*x - y + 1,#NAME?,expression,8*x - y,D,Medium,Math,Prep 1,6
Factor the expression: 3 x^{2} + 2 x - 8,(x + 2)*(3*x - 4) - x,(4*x + 2)*(3*x - 4),#NAME?,(x + 2)*(3*x - 4),D,Hard,Math,Prep 1,6
Expand the expression: (2 x + 1)(x - 1),2*x**2 - x - 1,2*5*x**2 - x - 1,2*x**2 - x - 1 + 1,2*3*x**2 - x - 1,A,Hard,Math,Prep 1,6
Factor the expression: 12 x^{2} - 21 x + 9,#NAME?,3*(x - 1)*(4*x - 3) + 1,3*(x - 1)*(4*x - 3),3*(3*x - 1)*(4*x - 3),C,Hard,Math,Prep 1,6
Expand the expression: (x - 4)(3 x - 2),3*x**2 - 14*x + 8,3*x**2 - 14*x + 8 + 1,2*x - 1,-3*x**2 - 14*x + 8,A,Hard,Math,Prep 1,6
Factor the expression: x^{2} - 7 x + 12,#NAME?,x + y,(5*x - 4)*(x - 3),(x - 4)*(x - 3),D,Hard,Math,Prep 1,6
Expand the expression: (x - 1)(x - 2),x**2 - 3*x + 2,a*b,expression,2*x - 1,A,Hard,Math,Prep 1,6
Factor the expression: 3 x^{2} + 15 x + 12,3*(x + 1)*(x + 4),#NAME?,expression,3*(x + 1)*(x + 4) + 1,A,Hard,Math,Prep 1,6
Factor the expression: 6 x^{2} - 6 x - 12,#NAME?,x + y,a*b,6*(x - 2)*(x + 1),D,Hard,Math,Prep 1,6
Expand the expression: (3 x + 3)(x - 1),3*3*x**2 - 3,3*x**2 - 3,-3*x**2 - 3,3*2*x**2 - 3,B,Hard,Math,Prep 1,6
Factor the expression: 8 x^{2} + 4 x - 4,4*(x + 1)*(2*x - 1) + y,#NAME?,4*(x + 1)*(2*x - 1),4*(2*x + 1)*(2*x - 1),C,Hard,Math,Prep 1,6
Factor the expression: 12 x^{2} + 22 x + 8,#NAME?,2*x - 1,2*(2*x + 1)*(3*x + 4),2*(2*4*x + 1)*(3*x + 4),C,Hard,Math,Prep 1,6
Factor the expression: 4 x^{2} + 14 x + 6,2*(x + 3)*(2*x + 1) + y,#NAME?,2*(x + 3)*(2*x + 1),2*(x + 3)*(2*x + 1) - x,C,Hard,Math,Prep 1,6
Factor the expression: 2 x^{2} + 3 x - 2,(x + 2)*(2*x - 1) + y,(x + 2)*(2*x - 1),#NAME?,(4*x + 2)*(2*x - 1),B,Hard,Math,Prep 1,6
Expand the expression: (3 x + 3)(4 x + 3),12*x**2 + 21*x + 9 - x,12*x**2 + 21*x + 9 + y,x + y,12*x**2 + 21*x + 9,D,Hard,Math,Prep 1,6
Factor the expression: 12 x^{2} - 13 x + 3,(3*x - 1)*(4*x - 3),(3*4*x - 1)*(4*x - 3),#NAME?,(3*x - 1)*(4*x - 3) + 1,A,Hard,Math,Prep 1,6
"What is the slope of the line passing through the points (3, -1) and (-2, 0)?",-0.2,5-Jan,-5,-6,A,Medium,Math,Prep 2,1
What is the slope of the line represented by the equation 2x + -2y = -8?,-1,-6,1,4,C,Hard,Math,Prep 2,1
The volume of water (V) in a tank after t minutes is given by V = 8t. What does the slope (8) represent?,Rate of filling,Initial volume,Total time,Total volume,A,Easy,Math,Prep 2,1
"What is the slope of the line passing through the points (2, 2) and (3, -4)?",-0.166666667,6,-6,3,C,Hard,Math,Prep 2,1
What is the slope of the line represented by the equation y = 1x + 1?,-1,-10,-7,1,D,Hard,Math,Prep 2,1
The volume of water (V) in a tank after t minutes is given by V = 5t + 3. What does the slope (5) represent?,Rate of filling,Total volume,Total time,Initial volume,A,Easy,Math,Prep 2,1
"What is the slope of the line passing through the points (-2, -5) and (3, -3)?",7,2-May,-0.4,5-Feb,D,Easy,Math,Prep 2,1
What is the slope of the line represented by the equation -2x + 4y = -16?,-0.5,2,2-Jan,-4,C,Medium,Math,Prep 2,1
The volume of water (V) in a tank after t minutes is given by V = 3t + 1. What does the slope (3) represent?,Rate of filling,Total time,Initial volume,Total volume,A,Easy,Math,Prep 2,1
"What is the slope of the line passing through the points (-5, -3) and (4, -5)?",9-Feb,-10,-0.222222222,-4.5,C,Easy,Math,Prep 2,1
What is the slope of the line represented by the equation y = -4x + -3?,-4,-3,4,-0.25,A,Easy,Math,Prep 2,1
The relationship between distance traveled (d) and time (t) is given by d = 6t. What does the slope (6) represent?,Total time,Speed,Initial distance,Total distance,B,Hard,Math,Prep 2,1
"What is the slope of the line passing through the points (-4, 3) and (-5, 5)?",-0.5,-2,2,-4,B,Easy,Math,Prep 2,1
What is the slope of the line represented by the equation y = (1/2)x + 0?,2-Jan,-0.5,2,0,A,Hard,Math,Prep 2,1
The relationship between distance traveled (d) and time (t) is given by d = 10t + 50. What does the slope (10) represent?,Speed,Total distance,Total time,Initial distance,A,Medium,Math,Prep 2,1
"What is the slope of the line passing through the points (-4, 5) and (-2, 1)?",-2,2,6,-0.5,A,Hard,Math,Prep 2,1
What is the slope of the line represented by the equation y = 1x + 0?,1,5,-1,0,A,Medium,Math,Prep 2,1
The relationship between distance traveled (d) and time (t) is given by d = 45t. What does the slope (45) represent?,Initial distance,Total time,Total distance,Speed,D,Easy,Math,Prep 2,1
"What is the slope of the line passing through the points (0, -4) and (3, -3)?",-0.333333333,3-Jan,3,5,B,Medium,Math,Prep 2,1
What is the slope of the line represented by the equation 2x + -1y = -2?,2-Jan,2,-7,-2,B,Hard,Math,Prep 2,1
The total cost (C) to buy x items is given by C = 25x + 30. What does the slope (25) represent?,Number of items,Fixed cost,Total cost,Cost per item,D,Medium,Math,Prep 2,1
"What is the slope of the line passing through the points (-3, -5) and (0, 1)?",-2,2,5,2-Jan,B,Easy,Math,Prep 2,1
What is the slope of the line represented by the equation y = 1x + -2?,1,-1,8,-2,A,Hard,Math,Prep 2,1
The relationship between distance traveled (d) and time (t) is given by d = 100t. What does the slope (100) represent?,Initial distance,Total distance,Total time,Speed,D,Easy,Math,Prep 2,1
"What is the slope of the line passing through the points (-1, 1) and (-2, -5)?",-6,6-Jan,6,5,C,Easy,Math,Prep 2,1
What is the slope of the line represented by the equation y = 1x + 1?,-9,0,-1,1,D,Hard,Math,Prep 2,1
The relationship between distance traveled (d) and time (t) is given by d = 60t. What does the slope (60) represent?,Speed,Total time,Initial distance,Total distance,A,Easy,Math,Prep 2,1
"What is the slope of the line passing through the points (-2, -5) and (-4, -5)?",Undefined,10,0,-10,C,Easy,Math,Prep 2,1
What is the slope of the line represented by the equation y = (-3/2)x + 3?,-1.5,-0.666666667,2-Mar,3,A,Easy,Math,Prep 2,1
The total cost (C) to buy x items is given by C = 40x. What does the slope (40) represent?,Cost per item,Fixed cost,Number of items,Total cost,A,Easy,Math,Prep 2,1
"What is the slope of the line passing through the points (4, -1) and (5, -4)?",3,-0.333333333,-3,4,C,Easy,Math,Prep 2,1
What is the slope of the line represented by the equation -2x + 1y = 2?,2-Jan,2,10,-2,B,Hard,Math,Prep 2,1
The relationship between distance traveled (d) and time (t) is given by d = 50t + 30. What does the slope (50) represent?,Initial distance,Total distance,Total time,Speed,D,Easy,Math,Prep 2,1
"What is the slope of the line passing through the points (2, 4) and (0, 4)?",4,1,0,Undefined,C,Medium,Math,Prep 2,1
What is the slope of the line represented by the equation y = (1/2)x + -3?,-0.5,2-Jan,-3,2,B,Hard,Math,Prep 2,1
The relationship between distance traveled (d) and time (t) is given by d = 25t + 30. What does the slope (25) represent?,Total time,Initial distance,Speed,Total distance,C,Hard,Math,Prep 2,1
"What is the slope of the line passing through the points (-2, 2) and (-4, 5)?",2-Mar,-1.5,-0.666666667,-5,B,Easy,Math,Prep 2,1
What is the slope of the line represented by the equation y = (3/2)x + 3?,3-Feb,-1.5,3,2-Mar,D,Medium,Math,Prep 2,1
The volume of water (V) in a tank after t minutes is given by V = 35t + 1. What does the slope (35) represent?,Total time,Total volume,Rate of filling,Initial volume,C,Hard,Math,Prep 2,1
"What is the slope of the line passing through the points (0, -4) and (1, 2)?",6,3,-6,6-Jan,A,Hard,Math,Prep 2,1
What is the slope of the line represented by the equation y = -1x + -2?,-1,1,-2,-4,A,Easy,Math,Prep 2,1
The total cost (C) to buy x items is given by C = 70x. What does the slope (70) represent?,Cost per item,Fixed cost,Number of items,Total cost,A,Easy,Math,Prep 2,1
"Given the frequency table:
Value | Frequency
   11 |         2
   12 |         2
   13 |         3
   14 |         2
   15 |         5
   16 |         2
   17 |         2
   18 |         4
   19 |         1
   20 |         2
What is the ascending cumulative frequency for the value 12? (i.e., frequency of values <= 12)",2,25,4,35,C,Medium,Math,Prep 2,2
"Consider the dataset: 1, 2, 2, 3, 4, 7, 9, 10. What is the frequency of the value 10?",2,1,Option X,8,B,Medium,Math,Prep 2,2
"Given the frequency table:
Value | Frequency
   10 |         1
   11 |         3
   12 |         2
   13 |         3
   14 |         2
   15 |         2
   17 |         6
   18 |         1
   19 |         3
   20 |         4
What is the ascending cumulative frequency for the value 12? (i.e., frequency of values <= 12)",27,4,6,2,C,Easy,Math,Prep 2,2
"Find the median from the frequency table:
Value (x) | Frequency (f)
        1 |             5
        2 |             9
        3 |             3
        4 |             4
        6 |             2
        7 |             2
        9 |             2
       10 |             1",3.64,2,2.5,3,C,Easy,Math,Prep 2,2
"Consider the dataset: 2, 2, 4, 5, 5, 5, 6, 7, 8. What is the frequency of the value 2?",1,2,9,3,B,Easy,Math,Prep 2,2
"Given the frequency table:
Value | Frequency
   10 |         3
   11 |         2
   12 |         1
   13 |         1
   14 |         3
   15 |         2
   18 |         4
   19 |         3
   20 |         2
What is the ascending cumulative frequency for the value 18? (i.e., frequency of values <= 18)",16,4,21,12,A,Easy,Math,Prep 2,2
"Find the mode(s) from the frequency table:
Value (x) | Frequency (f)
        5 |             7
        6 |             2
        7 |             3
        8 |             1
        9 |             2
       10 |             5
       11 |             2
       12 |             5
       13 |             1
       15 |             4",5,9.34,10,10,A,Hard,Math,Prep 2,2
"Consider the dataset: 2, 3, 3, 5, 7, 7, 7, 8, 8, 8, 9, 9, 10. What is the frequency of the value 8?",2,13,Option Z,3,D,Easy,Math,Prep 2,2
"Given the frequency table:
Value | Frequency
   10 |         7
   11 |         2
   13 |         2
   14 |         2
   15 |         1
   16 |         3
   17 |         1
   19 |         1
   20 |         1
What is the ascending cumulative frequency for the value 16? (i.e., frequency of values <= 16)",14,3,20,17,D,Medium,Math,Prep 2,2
"Calculate the arithmetic mean from the frequency table:
Value (x) | Frequency (f)
        5 |             1
        7 |             4
        8 |             3
        9 |             3
       12 |             3
       13 |             2
       14 |             2
       15 |             4",7,10.5,9.2,10.64,D,Hard,Math,Prep 2,2
"Find the median from the frequency table:
Value (x) | Frequency (f)
        1 |             2
        2 |             3
        3 |             3
        4 |             5
        5 |             2
        6 |             3
        7 |             3
        8 |             2
        9 |             2
       10 |             9",46,6.18,10,6,D,Easy,Math,Prep 2,2
"Given the frequency table:
Value | Frequency
   10 |         1
   11 |         4
   12 |         2
   13 |         3
   15 |         2
   16 |         4
   17 |         4
   18 |         2
   19 |         1
   20 |         3
What is the ascending cumulative frequency for the value 16? (i.e., frequency of values <= 16)",16,4,26,12,A,Medium,Math,Prep 2,2
"Calculate the arithmetic mean from the frequency table:
Value (x) | Frequency (f)
        6 |             3
        8 |             1
        9 |             3
       10 |             1
       11 |             2
       12 |             1
       13 |             4
       14 |             1
       15 |             2",10.72,13,10,11,A,Easy,Math,Prep 2,2
"Find the median from the frequency table:
Value (x) | Frequency (f)
        1 |             2
        2 |             8
        3 |             3
        4 |             1
        5 |             2
        6 |             5
        7 |             1
        8 |             2
        9 |             4
       10 |             3",22,2,5,5.16,C,Easy,Math,Prep 2,2
"Given the frequency table:
Value | Frequency
   10 |         4
   11 |         1
   12 |         2
   13 |         1
   14 |         2
   15 |         2
   16 |         4
   17 |         5
   18 |         4
   19 |         3
   20 |         3
What is the ascending cumulative frequency for the value 17? (i.e., frequency of values <= 17)",16,5,31,21,D,Easy,Math,Prep 2,2
"Calculate the arithmetic mean from the frequency table:
Value (x) | Frequency (f)
        5 |             3
        6 |             1
        7 |             1
        8 |             2
        9 |             5
       10 |             4
       11 |             1
       12 |             2
       13 |             2
       14 |             1
       15 |             3",9.96,10,8.9,9,A,Easy,Math,Prep 2,2
"Find the median from the frequency table:
Value (x) | Frequency (f)
        1 |             5
        2 |             2
        3 |             5
        4 |             8
        5 |             1
        6 |             5
        8 |             3
        9 |             2
       10 |             4",4.94,4,29,5,B,Hard,Math,Prep 2,2
"Find the mode(s) from the frequency table:
Value (x) | Frequency (f)
        5 |             3
        6 |             3
        7 |             6
        8 |             4
        9 |             4
       10 |             3
       11 |             5
       13 |             3
       15 |             5",9,7,11,9.5,B,Medium,Math,Prep 2,2
"Consider the dataset: 2, 2, 3, 4, 6, 8, 8, 8, 9, 9. What is the frequency of the value 9?",1,10,3,2,D,Medium,Math,Prep 2,2
"Given the frequency table:
Value | Frequency
   10 |         3
   11 |         1
   12 |         4
   13 |         5
   14 |         1
   15 |         2
   16 |         2
   17 |         3
   18 |         3
   19 |         3
   20 |         2
What is the descending cumulative frequency for the value 10? (i.e., frequency of values >= 10)",29,26,3,30,A,Hard,Math,Prep 2,2
"Calculate the arithmetic mean from the frequency table:
Value (x) | Frequency (f)
        5 |             1
        6 |             3
        7 |             1
        8 |             6
       11 |             4
       12 |             3
       13 |             2
       14 |             2
       15 |             3",9.3,11,10.28,8,C,Medium,Math,Prep 2,2
"Find the mode(s) from the frequency table:
Value (x) | Frequency (f)
        5 |            10
        6 |             2
        7 |             1
        9 |             2
       10 |             2
       11 |             4
       12 |             3
       13 |             5
       14 |             1
       15 |             3",9.42,5,10,13,B,Easy,Math,Prep 2,2
"Consider the dataset: 2, 4, 4, 6, 6, 7, 9, 10. What is the frequency of the value 6?",8,2,Option Y,3,B,Hard,Math,Prep 2,2
"Given the frequency table:
Value | Frequency
   10 |         2
   11 |         2
   12 |         4
   13 |         5
   14 |         3
   15 |         2
   16 |         2
   17 |         7
   18 |         3
   19 |         2
   20 |         1
What is the ascending cumulative frequency for the value 18? (i.e., frequency of values <= 18)",3,33,27,30,D,Easy,Math,Prep 2,2
"Find the median from the frequency table:
Value (x) | Frequency (f)
        1 |             1
        2 |             3
        3 |             5
        5 |             1
        6 |             2
        7 |             3
        8 |             2
        9 |             3
       10 |             2",6,5.59,7,3,A,Medium,Math,Prep 2,2
"Find the mode(s) from the frequency table:
Value (x) | Frequency (f)
        5 |             2
        6 |             1
        7 |             3
        8 |             3
        9 |             4
       10 |             2
       11 |             4
       12 |             2
       13 |             1
       14 |             2
       15 |             3",9 and 11,11,10.04,10,A,Medium,Math,Prep 2,2
"Given the frequency table:
Value | Frequency
   10 |         4
   11 |         2
   12 |         8
   13 |         1
   14 |         3
   16 |         3
   17 |         4
   18 |         2
   20 |         1
What is the descending cumulative frequency for the value 20? (i.e., frequency of values >= 20)",17,28,1,32,C,Easy,Math,Prep 2,2
"Find the median from the frequency table:
Value (x) | Frequency (f)
        1 |             1
        2 |             4
        3 |             1
        4 |             1
        6 |             1
        7 |             3
        8 |             3
        9 |             2
       10 |             4",6.25,7,2,40,B,Easy,Math,Prep 2,2
"Given the frequency table:
Value | Frequency
   10 |         3
   11 |         4
   12 |         7
   13 |         5
   15 |         1
   16 |         4
   18 |         1
   19 |         2
   20 |         7
What is the ascending cumulative frequency for the value 13? (i.e., frequency of values <= 13)",19,5,14,34,A,Easy,Math,Prep 2,2
"Find the mode(s) from the frequency table:
Value (x) | Frequency (f)
        5 |             3
        6 |             4
        7 |             2
        8 |             5
        9 |             2
       10 |             3
       11 |             3
       12 |             3
       13 |             5
       14 |             6
       15 |             2",8,14,10.5,10.24,B,Medium,Math,Prep 2,2
"Consider the dataset: 1, 2, 3, 4, 5, 5, 6, 7, 7, 8, 9, 9, 9, 10. What is the frequency of the value 9?",14,4,1,3,D,Easy,Math,Prep 2,2
"Given the frequency table:
Value | Frequency
   10 |         2
   11 |         1
   12 |         2
   13 |         3
   15 |         2
   16 |         1
   17 |         2
   18 |         2
   19 |         3
   20 |         3
What is the descending cumulative frequency for the value 10? (i.e., frequency of values >= 10)",2,21,49,19,B,Easy,Math,Prep 2,2
"Given the frequency table:
Value | Frequency
   10 |         2
   11 |         3
   12 |         3
   13 |         2
   14 |         5
   15 |         3
   17 |         1
   18 |         2
   19 |         4
   20 |         1
What is the ascending cumulative frequency for the value 20? (i.e., frequency of values <= 20)",25,1,16,26,D,Medium,Math,Prep 2,2
"Given the frequency table:
Value | Frequency
   10 |         1
   11 |         5
   13 |         2
   14 |         5
   15 |         2
   17 |         2
   18 |         2
   20 |         2
What is the descending cumulative frequency for the value 17? (i.e., frequency of values >= 17)",2,21,6,4,C,Medium,Math,Prep 2,2
"Find the median from the frequency table:
Value (x) | Frequency (f)
        1 |             1
        2 |             1
        3 |             3
        4 |             3
        5 |             1
        6 |             3
        7 |             2
        8 |             3
        9 |             3
       10 |             1",5.81,3,20,6,D,Easy,Math,Prep 2,2
"Consider the dataset: 1, 2, 2, 3, 3, 3, 3, 7, 8, 10. What is the frequency of the value 3?",5,4,2,10,B,Easy,Math,Prep 2,2
"Given the frequency table:
Value | Frequency
   10 |         4
   11 |         2
   12 |         4
   13 |         5
   14 |         5
   15 |         1
   17 |         3
   18 |         2
   19 |         1
   20 |         4
What is the descending cumulative frequency for the value 12? (i.e., frequency of values >= 12)",4,31,25,21,C,Easy,Math,Prep 2,2
"Find the median from the frequency table:
Value (x) | Frequency (f)
        1 |             2
        2 |             4
        3 |             2
        4 |             5
        5 |             3
        7 |             2
        8 |             1
        9 |             1
       10 |             2",4.64,21,4,46,C,Medium,Math,Prep 2,2
"Given the frequency table:
Value | Frequency
   11 |         2
   12 |         2
   13 |         2
   14 |         3
   16 |         1
   17 |         2
   18 |         1
   19 |         5
   20 |         3
What is the descending cumulative frequency for the value 13? (i.e., frequency of values >= 13)",15,2,17,21,C,Hard,Math,Prep 2,2
